DC field strength (mT),Average mode separation (GHz),Std.dev.
2.000000000000000000e+01,5.825424575424531515e-01,3.019037596151421976e+00
2.100000000000000000e+01,7.146699454391707285e-01,3.030245161700888534e+00
2.200000000000000000e+01,1.058941058941050839e+00,2.850186091280578093e+00
2.300000000000000000e+01,1.052281052281044404e+00,2.714192872155996028e+00
2.400000000000000000e+01,1.183816183816174927e+00,2.845070346624550162e+00
2.500000000000000000e+01,1.048951048951040965e+00,2.837364213140107783e+00
2.600000000000000000e+01,4.705294705294669200e-01,3.200399616182346030e+00
2.700000000000000000e+01,8.944901252593491225e-01,3.418670514144099393e+00
2.800000000000000000e+01,1.282051282051272167e+00,3.573288604172763172e+00
2.900000000000000000e+01,6.830012093169934850e-01,3.944726284321621534e+00
3.000000000000000000e+01,7.615913498266381199e-01,3.760495370298506668e+00
